,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,6,1.3651280789751024
1,2013,7,1.2369927488298083
2,2013,8,1.2655895873412595
3,2013,9,1.2534643636742222
4,2013,10,1.15330589839738
5,2013,11,1.0094185323398734
6,2013,12,0.9420644728653943
7,2014,1,0.9806957825173994
8,2014,2,1.0361310317805128
9,2014,3,1.0456974025374097
10,2014,4,1.0454807822047647
11,2014,5,1.1087147256411733
12,2014,6,1.112613199921636
13,2014,7,1.112138760343445
14,2014,8,1.141290305983704
15,2014,9,1.09415546575797
16,2014,10,1.0925631026738816
17,2014,11,1.0188084285950278
18,2014,12,1.0102531909613075
19,2015,1,1.0554849455242643
20,2015,2,1.0016222359099622
21,2015,3,1.0846628572864432
22,2015,4,1.102635304774384
23,2015,5,1.109436705750953
24,2015,6,1.1206519332593026
25,2015,7,1.1455726263081563
26,2015,8,1.1169117088470595
27,2015,9,1.0638825208303673
28,2015,10,1.060443046496833
29,2015,11,1.0276015382748707
30,2015,12,1.0052886595015587
31,2016,1,0.9469924513582628
32,2016,2,0.9515785935499136
33,2016,3,1.0045964151272264
34,2016,4,1.0253940856959007
35,2016,5,1.085133836172559
36,2016,6,1.0695819673136573
37,2016,7,1.0447245686236049
38,2016,8,1.035307519335146
39,2016,9,1.0258916142029328
40,2016,10,0.9898900720055211
41,2016,11,0.982565212034959
42,2016,12,0.8997739555964047
