,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65
,,,,,,
0,2015,2.7866688174550185,1143.8438712743805,2163.0467600363127,442.2060029779103,308.4523807296447
1,2016,,1441.0962324845964,3522.786807625357,504.3015021417584,1209.7143249644496
