,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,5.20438753392067,1554.21633185418,1986.8050004548313,834.2398037462488,630.5208052210502,17.914554665080434
1,2014,39.75383141199231,7633.122400651717,8414.684579066414,3691.468317213466,3837.8145976393316,122.0001764481004
2,2015,7.850793314582438,7193.549165657054,9380.68579357736,3801.4332561409365,3376.0584261687163,81.5939107434059
3,2016,73.49913710782405,8026.986067969627,9755.803007442233,3360.552794815168,3443.2932122219395,62.79019997369373
