,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,4
1,2013,7,2223
2,2013,8,4233
3,2013,9,3115
4,2013,10,2181
5,2013,11,883
6,2013,12,393
7,2014,1,213
8,2014,2,247
9,2014,3,804
10,2014,4,2077
11,2014,5,4215
12,2014,6,4197
13,2014,7,6086
14,2014,8,6543
15,2014,9,4135
16,2014,10,2539
17,2014,11,1090
18,2014,12,822
19,2015,1,495
20,2015,2,348
21,2015,3,1118
22,2015,4,1565
23,2015,5,3614
24,2015,6,4424
25,2015,7,7082
26,2015,8,6384
27,2015,9,4247
28,2015,10,2415
29,2015,11,1229
30,2015,12,696
31,2016,1,434
32,2016,2,624
33,2016,3,1375
34,2016,4,1777
35,2016,5,3628
36,2016,6,4421
37,2016,7,5663
38,2016,8,4402
39,2016,9,3743
40,2016,10,2595
41,2016,11,1647
42,2016,12,489
