,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2015,5,18.44218500797449
1,2015,6,19.11965986394558
2,2015,7,18.4758672699849
3,2015,8,14.115616621983914
4,2015,9,12.55258253461129
5,2015,10,12.086622320768656
6,2015,11,11.466366906474818
7,2015,12,13.582719836400825
8,2016,1,11.266358024691359
9,2016,2,10.717460317460322
10,2016,3,18.896222222222224
11,2016,4,12.403460451977397
12,2016,5,16.038070628768295
13,2016,6,15.499254115226346
14,2016,7,16.42993143459917
15,2016,8,15.288948306595366
16,2016,9,14.081864754098346
17,2016,10,13.226138211382128
18,2016,11,15.107177615571784
19,2016,12,12.757565789473682
