,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2015,5,172
1,2015,6,486
2,2015,7,478
3,2015,8,407
4,2015,9,408
5,2015,10,314
6,2015,11,212
7,2015,12,150
8,2016,1,107
9,2016,2,128
10,2016,3,231
11,2016,4,254
12,2016,5,381
13,2016,6,409
14,2016,7,480
15,2016,8,591
16,2016,9,578
17,2016,10,531
18,2016,11,364
19,2016,12,187
