,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,8,584
1,2013,9,1274
2,2013,10,911
3,2013,11,477
4,2013,12,216
5,2014,1,117
6,2014,2,85
7,2014,3,351
8,2014,4,889
9,2014,5,1491
10,2014,6,1917
11,2014,7,2174
12,2014,8,2109
13,2014,9,1657
14,2014,10,1200
15,2014,11,613
16,2014,12,569
17,2015,1,327
18,2015,2,213
19,2015,3,633
20,2015,4,1019
21,2015,5,1430
22,2015,6,1839
23,2015,7,2436
24,2015,8,2368
25,2015,9,1939
26,2015,10,1423
27,2015,11,869
28,2015,12,661
29,2016,1,540
30,2016,2,551
31,2016,3,908
32,2016,4,1104
33,2016,5,1776
34,2016,6,2316
35,2016,7,2313
36,2016,8,2264
37,2016,9,2095
38,2016,10,1776
39,2016,11,1226
40,2016,12,453
