,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,9,16.082929292929283
1,2013,10,16.113355619229527
2,2013,11,12.36176112126752
3,2013,12,11.090029112081519
4,2014,1,9.5118320610687
5,2014,2,11.62435064935065
6,2014,3,11.790582800284275
7,2014,4,15.098386123680232
8,2014,5,16.060314276161797
9,2014,6,16.66625145971194
10,2014,7,16.060360512129407
11,2014,8,15.654785833931598
12,2014,9,13.945499392835464
13,2014,10,13.927290198590631
14,2014,11,10.818841544607192
15,2014,12,10.036139455782314
16,2015,1,10.367823571945046
17,2015,2,14.78453703703703
18,2015,3,14.20691263782867
19,2015,4,14.341993594875907
20,2015,5,15.64419595314166
21,2015,6,16.02346253229975
22,2015,7,16.313164179104486
23,2015,8,14.772953168044058
24,2015,9,14.63212949101799
25,2015,10,7.856410256410258
26,2016,4,12.242045454545455
27,2016,5,15.103985291194595
28,2016,6,16.0361342508753
29,2016,7,15.519213675213685
30,2016,8,14.9390457232477
31,2016,9,13.837314672801655
32,2016,10,13.449720181881727
33,2016,11,11.954642489711919
34,2016,12,9.39270386266095
