,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2015,5,1.453861468502428
1,2015,6,1.9376579943444947
2,2015,7,1.75100901422182
3,2015,8,1.4833963254031277
4,2015,9,1.4707602746625614
5,2015,10,1.4971707107528118
6,2015,11,1.438971417590835
7,2015,12,1.3799829963782018
8,2016,1,1.2021005167984449
9,2016,2,1.2791006669021086
10,2016,3,1.3579520879312479
11,2016,4,1.4570857384186455
12,2016,5,1.5578461676669852
13,2016,6,1.5765953536794168
14,2016,7,1.798929139618111
15,2016,8,1.552287038791883
16,2016,9,1.6136736699583016
17,2016,10,1.5670894492305585
18,2016,11,1.6773733831202682
19,2016,12,1.9942659957105677
