,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,30 - 39,40 - 49,50 - 65
,,,,
0,2016,26.213373760064965,9.825087039745767,49.53981357172322
