,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2015,4,14.780208333333334
1,2015,5,20.38395061728395
2,2015,6,23.514021164021162
3,2015,7,41.70410958904111
4,2015,8,18.99753086419754
5,2015,9,18.46479400749064
6,2015,10,11.374378109452737
7,2015,11,9.709621993127142
8,2015,12,8.395089285714294
9,2016,1,10.106340579710148
10,2016,2,10.477222222222219
11,2016,3,13.71761363636364
12,2016,4,13.28289473684211
13,2016,5,25.196448087431683
14,2016,6,29.663784461152883
15,2016,7,28.636526946107796
16,2016,8,17.453603603603607
17,2016,9,16.580871212121213
18,2016,10,11.672864321608037
19,2016,11,9.632238442822382
20,2016,12,8.553271028037381
