,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,
0,2015,523.1948595465287,1097.4271900567558,588.1639458050929,219.3457225426713,2.8479555963328202
1,2016,830.5975577138184,1878.8380626713176,804.4786893090578,567.1613529418102,12.886165596028533
