,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,
0,2015,1151.4495632668882,1423.7230921213336,348.062736471309,686.7276071685313,9.923118961732177
1,2016,2137.442431623768,2270.8235939841247,833.891636001998,805.5428873201029,11.772646878495216
