,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65,65+
,,,,,,,
0,2013,,348.00842907168527,857.405067669953,229.07085819624047,198.11596682617883,5.041959532093527
1,2014,1.5967884151999359,3621.529063046408,4912.53850065691,1186.968949968594,369.4060820019125,9.322043028239126
2,2015,43.40018775092355,6050.188702909694,6543.860196846962,1800.7707016500458,494.3595414847798,79.28918433641343
3,2016,20.82354047187549,6590.171950498526,7664.345603194048,1972.5438796061658,644.8341318035752,53.34138706232866
