,START TIME YEAR,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles,DISTANCE_Miles
AGE_GROUP,,0 - 18,19 - 29,30 - 39,40 - 49,50 - 65
,,,,,,
0,2013,,0.8515507854009472,19.06397295108223,15.908415729592749,28.40746648720234
1,2014,,82.04958225434595,72.46923672581941,76.87417156148877,79.62674841777702
2,2015,2.5546523562028414,139.86015575582041,83.44175619287934,41.2273301866881,104.70353597397418
3,2016,,67.06093734519905,213.1925841241737,29.792828635353985,29.713067921918917
