,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,6,22.00880503144654
1,2013,7,28.413893805309716
2,2013,8,21.795874156324825
3,2013,9,18.74315608074838
4,2013,10,13.998805202661842
5,2013,11,13.22295321637427
6,2013,12,14.980021715526602
7,2014,1,10.87029288702929
8,2014,2,16.31777777777778
9,2014,3,12.084971334971346
10,2014,4,14.925903392330385
11,2014,5,15.369740112994348
12,2014,6,14.654812264305619
13,2014,7,14.58802612481859
14,2014,8,15.617065353345877
15,2014,9,13.393343558282194
16,2014,10,12.153811869575414
17,2014,11,11.19354005167958
18,2014,12,12.880323679727441
19,2015,1,10.587946040034822
20,2015,2,11.172772988505745
21,2015,3,14.102894617820004
22,2015,4,13.505344655344658
23,2015,5,15.507375537799637
24,2015,6,14.246547848426477
25,2015,7,14.72146004254025
26,2015,8,14.243391188251005
27,2015,9,14.608904606456344
28,2015,10,13.313443170964682
29,2015,11,12.201579778830972
30,2015,12,12.231569474442045
31,2016,1,12.077397260273985
32,2016,2,10.755171208944795
33,2016,3,14.454797663746367
34,2016,4,12.84707977207975
35,2016,5,13.714458850056365
36,2016,6,12.969463187884239
37,2016,7,13.727607461476085
38,2016,8,13.45841247230135
39,2016,9,13.183208883783259
40,2016,10,13.765543201297204
41,2016,11,10.805007390982988
42,2016,12,9.18696027633852
