,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2015,5,46.88553921568627
1,2015,6,25.21573333333335
2,2015,7,31.44710743801654
3,2015,8,22.214322916666667
4,2015,9,23.585964912280716
5,2015,10,22.80102040816327
6,2015,11,36.714728682170545
7,2015,12,18.75072463768116
8,2016,1,16.264814814814812
9,2016,2,21.917708333333337
10,2016,3,17.515217391304343
11,2016,4,47.08333333333333
12,2016,5,27.33976608187134
13,2016,6,21.145569620253177
14,2016,7,22.311111111111117
15,2016,8,35.13273809523811
16,2016,9,20.174929971988792
17,2016,10,13.97211538461539
18,2016,11,12.59090909090909
19,2016,12,15.300000000000002
