,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,8,22.930070398927256
1,2013,9,23.45915486564994
2,2013,10,18.449331734064447
3,2013,11,14.187764932562644
4,2013,12,14.374176356589162
5,2014,1,11.95036832412524
6,2014,2,11.916801437556142
7,2014,3,14.792197962154306
8,2014,4,17.104133597883596
9,2014,5,17.905809189347394
10,2014,6,17.0099761440035
11,2014,7,16.998750848608278
12,2014,8,16.87010252147413
13,2014,9,15.063897654848095
14,2014,10,13.840768292682911
15,2014,11,12.14873936581593
16,2014,12,12.60241130231571
17,2015,1,13.874213311055422
18,2015,2,12.6625585023401
19,2015,3,14.175778858274784
20,2015,4,14.705712890625001
21,2015,5,17.390459110473497
22,2015,6,15.957547734482535
23,2015,7,16.44238538645504
24,2015,8,15.150091324200888
25,2015,9,14.814955074664653
26,2015,10,13.771297264331793
27,2015,11,13.052478213507614
28,2015,12,11.189017341040467
29,2016,1,11.622910052910072
30,2016,2,12.179589947089939
31,2016,3,13.747403560830817
32,2016,4,13.91271947733768
33,2016,5,15.048075962018979
34,2016,6,15.204384203480597
35,2016,7,16.737218024069342
36,2016,8,15.320269214590477
37,2016,9,14.301796075363546
38,2016,10,12.800843044879784
39,2016,11,13.487501471800298
40,2016,12,9.526122625215887
