,START TIME YEAR,START TIME MONTH,DISTANCE_Miles
0,2013,6,0.9604413512431165
1,2013,7,1.1281711794001106
2,2013,8,1.162550281080759
3,2013,9,1.1733903249837703
4,2013,10,1.1074459890583699
5,2013,11,1.0429259714000858
6,2013,12,0.8703478989081125
7,2014,1,0.8185283625936995
8,2014,2,0.8013232480041412
9,2014,3,0.978532875531109
10,2014,4,0.9975379966138695
11,2014,5,0.9945862894341844
12,2014,6,1.073347174302194
13,2014,7,1.0822919151243149
14,2014,8,1.039184265494194
15,2014,9,1.0771734424451647
16,2014,10,1.0676459055751146
17,2014,11,0.9435092887249059
18,2014,12,0.8161870980611639
19,2015,1,0.825188218488755
20,2015,2,0.774710666994298
21,2015,3,0.9369684736438711
22,2015,4,1.0244885926276897
23,2015,5,1.0272111207997832
24,2015,6,1.054820452278114
25,2015,7,1.052336151096172
26,2015,8,1.0375121743755193
27,2015,9,1.0205039423310305
28,2015,10,1.0118834505374772
29,2015,11,0.9892292859479194
30,2015,12,0.9333239222644503
31,2016,1,0.8935854670339889
32,2016,2,0.9260837670133416
33,2016,3,0.999895948330739
34,2016,4,1.0324430178072836
35,2016,5,1.0678840989913356
36,2016,6,1.0831163213434891
37,2016,7,1.0326075808666786
38,2016,8,1.0313915935007463
39,2016,9,0.9906525827496141
40,2016,10,0.9846030215090096
41,2016,11,0.9863889402904094
42,2016,12,0.8474368983410955
