,START TIME YEAR,START TIME MONTH,BIKE TRIPS
0,2013,6,115
1,2013,7,2613
2,2013,8,4878
3,2013,9,4743
4,2013,10,3570
5,2013,11,1850
6,2013,12,933
7,2014,1,526
8,2014,2,587
9,2014,3,1192
10,2014,4,2556
11,2014,5,3608
12,2014,6,4150
13,2014,7,5250
14,2014,8,5313
15,2014,9,4418
16,2014,10,3963
17,2014,11,1814
18,2014,12,1320
19,2015,1,1056
20,2015,2,772
21,2015,3,1717
22,2015,4,2480
23,2015,5,3880
24,2015,6,5044
25,2015,7,5927
26,2015,8,6128
27,2015,9,5766
28,2015,10,4572
29,2015,11,3153
30,2015,12,2067
31,2016,1,1636
32,2016,2,2120
33,2016,3,3148
34,2016,4,3276
35,2016,5,4262
36,2016,6,5209
37,2016,7,5579
38,2016,8,5698
39,2016,9,5660
40,2016,10,4575
41,2016,11,3568
42,2016,12,1615
