,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,9,17.338931297709923
1,2013,10,15.045123456790133
2,2013,11,8.577474747474747
3,2013,12,7.938557213930348
4,2014,1,8.344252873563217
5,2014,2,7.069191919191918
6,2014,3,10.138580246913579
7,2014,4,11.855742296918766
8,2014,5,15.128566149297841
9,2014,6,16.110804020100513
10,2014,7,15.51100519930675
11,2014,8,16.197685998828348
12,2014,9,12.520301624129939
13,2014,10,10.305185185185179
14,2014,11,8.891613588110395
15,2014,12,8.048148148148147
16,2015,1,9.123624595469257
17,2015,2,13.020588235294118
18,2015,3,14.504734848484851
19,2015,4,12.737297527706735
20,2015,5,13.208312236286924
21,2015,6,20.065070921985797
22,2015,7,16.357943385326383
23,2015,8,14.110339506172847
24,2015,9,12.154383975812546
25,2015,10,14.776876876876877
26,2015,11,10.836
27,2015,12,10.357870370370371
28,2016,1,8.477777777777776
29,2016,2,10.037158469945357
30,2016,3,9.01859756097561
31,2016,4,10.535516506922253
32,2016,5,14.372912683237734
33,2016,6,13.164175654853612
34,2016,7,14.55512626262626
35,2016,8,13.537587587587588
36,2016,9,13.78241787829832
37,2016,10,11.553389830508483
38,2016,11,19.82022522522522
39,2016,12,10.879871794871795
